Nome do aluno,Seg 7:30 AM – 8:30 AM,Seg 8:00 AM – 9:00 AM,Seg 9:00 AM – 10:00 AM,Seg 10:00 AM – 11:00 AM,Seg 11:00 AM – 12:00 PM,Seg 1:00 PM – 2:00 PM,Seg 2:00 PM – 3:00 PM,Seg 3:00 PM – 4:00 PM,Seg 4:00 PM – 5:00 PM,Seg 4:30 PM – 5:30 PM,Seg 6:00 PM – 7:00 PM,Ter 1:00 PM – 2:00 PM,Ter 2:00 PM – 3:00 PM,Ter 3:00 PM – 4:00 PM,Ter 4:00 PM – 5:00 PM,Ter 4:30 PM – 5:30 PM,Ter 6:00 PM – 7:00 PM,Ter 6:30 PM – 7:30 PM,Ter 7:30 AM – 8:30 AM,Qua 8:00 AM – 9:00 AM,Qua 9:00 AM – 10:00 AM,Qua 10:00 AM – 11:00 AM,Qua 11:00 AM – 12:00 PM,Qua 1:00 PM – 2:00 PM,Qua 2:00 PM – 3:00 PM,Qua 3:00 PM – 4:00 PM,Qua 4:00 PM – 5:00 PM,Qua 4:30 PM – 5:30 PM,Qua 6:00 PM – 7:00 PM,Qua 6:30 PM – 7:30 PM,Qui 1:00 PM – 2:00 PM,Qui 2:00 PM – 3:00 PM,Qui 3:00 PM – 4:00 PM,Qui 6:00 PM – 7:00 PM,Qui 6:30 PM – 7:30 PM,Sex 7:30 AM – 8:30 AM,Sex 8:00 AM – 9:00 AM,Sex 9:00 AM – 10:00 AM,Sex 10:00 AM – 11:00 AM,Sex 11:00 AM – 12:00 PM,Sex 1:00 PM – 2:00 PM,Sex 2:00 PM – 3:00 PM,Sex 3:00 PM – 4:00 PM,Sex 4:00 PM – 5:00 PM,Sex 4:30 PM – 5:30 PM
Aluno 1,OK,OK,OK,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,OK
Aluno 2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 3,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 4,,,,OK,OK,OK,OK,,,,,OK,OK,,,,,,,,,OK,OK,OK,OK,,,,,,OK,OK,,,,,,,OK,OK,OK,OK,,,
Aluno 5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 6,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK,OK,OK
Aluno 7,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Aluno 8,,OK,OK,OK,,OK,OK,OK,,,,OK,OK,OK,,,,,,OK,OK,OK,,OK,OK,OK,,,,,OK,OK,OK,,,,OK,OK,OK,,OK,OK,OK,,
Aluno 9,OK,OK,OK,OK,OK,OK,,,,,,OK,,,,,,,OK,OK,OK,OK,OK,OK,,,,,,,OK,,,,,OK,OK,OK,OK,OK,OK,,,,
Aluno 10,,OK,,,,,,,,,OK,,,,,OK,,,,,OK,,,,,,,,OK,,,OK,OK,,,,,OK,,,,OK,OK,OK,OK
Aluno 11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 12,,,,,,,,OK,OK,OK,,,,OK,OK,OK,,OK,,,,,,,,OK,OK,OK,,OK,,,OK,,OK,,,,,,,OK,OK,OK,OK
Aluno 13,,,OK,OK,OK,OK,,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,,OK,OK,OK,,,OK,OK,OK,OK,,OK,OK,OK
Aluno 14,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 15,,,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK
Aluno 16,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluno 17,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,
Aluno 18,,,,,,,,,OK,OK,OK,,,,OK,OK,,,,,,,,,,OK,OK,OK,,,,,,OK,,,,,,,,,OK,OK,OK
Aluno 19,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK
Aluno 20,,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK,OK,OK,,,,,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,,
Aluno 21,OK,OK,,,,,,,,,OK,OK,,,,,OK,OK,OK,OK,,,,,,,,,OK,,,,,OK,OK,OK,OK,,,,,,,,
Aluno 22,,OK,OK,OK,,OK,,,,,,,OK,,,,,,,OK,OK,OK,OK,,,,,,,,,OK,,,,,,,OK,OK,,OK,,,
Aluno 23,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK
Aluno 24,,,OK,OK,,,,,,,,,,OK,OK,OK,,,,OK,OK,OK,,,,,,,,,,,OK,OK,OK,,OK,OK,OK,,,,,,
Aluno 25,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluno 26,OK,,,,,,,,,,OK,,,,,,OK,OK,OK,,,,,,,,,,OK,OK,,,,OK,OK,OK,,,,,,,,,
Aluno 27,,,,OK,OK,,,,,,,OK,OK,,,,,,,,,OK,OK,,,,,,,,OK,OK,,,,,,,OK,OK,,,,,
Aluno 28,OK,OK,,,,,OK,OK,,,,OK,,,,,OK,OK,OK,OK,OK,,,OK,,,,,OK,OK,,,OK,OK,,OK,OK,OK,,,,,,OK,OK
Aluno 29,,,,,,,,,,OK,OK,,,,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,,,,,OK,OK,,,,,,,,,OK,OK
Aluno 30,,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,,
Aluno 31,,OK,OK,OK,OK,,,,,,,,,,,,OK,OK,OK,OK,OK,OK,OK,,,,,,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,,,,,
Aluno 32,,,,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,,,,,,OK,OK,OK,OK,OK,OK,OK
Aluno 33,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK
Aluno 34,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 35,,,OK,,,OK,OK,,,,,OK,OK,,,,OK,OK,,,,OK,OK,OK,,,,,OK,OK,OK,OK,,OK,OK,,,OK,OK,OK,OK,,,,
Aluno 36,OK,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK
Aluno 37,,,,,,,,,,,,,,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,,OK,OK
Aluno 38,,,OK,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,,,OK,OK,,,OK,OK,OK,OK,,,OK,OK
Aluno 39,,,OK,OK,OK,,OK,OK,OK,,,,OK,OK,OK,,,,,,OK,OK,OK,,OK,OK,OK,,,,,OK,OK,,,,,OK,OK,OK,,OK,OK,OK,
Aluno 40,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Aluno 41,,,,OK,OK,,,OK,OK,,,,,OK,OK,,,,,,,OK,OK,,,OK,OK,,,,,,OK,,,,,,OK,OK,,,OK,OK,
Aluno 42,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK
Aluno 43,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 44,,,,OK,OK,,,OK,OK,OK,,,,,,,,,,,,OK,OK,,,OK,OK,OK,,,,,OK,OK,,,,OK,OK,OK,,,,OK,OK
Aluno 45,,OK,OK,,,,OK,OK,OK,,,,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,OK,OK,,,,OK,OK,,,OK,OK,OK,OK,,,,,,
Aluno 46,,,,,,,,,OK,OK,OK,,,,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,OK,,,,OK,OK,,,,,,,,,OK,OK
Aluno 47,OK,OK,OK,OK,,OK,OK,,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,,OK,OK,,OK,OK
Aluno 48,OK,OK,,,,,,,,,,,,,,,,,OK,OK,,,,,,,,,,,,,,,,OK,OK,,,,,,,,
Aluno 49,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluno 50,,,,OK,OK,OK,OK,,,,OK,OK,,,,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,,,,OK,OK,,,,,
Aluno 51,,,,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK
Aluno 52,,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 53,,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,OK,OK,,,,OK,OK,,OK,,OK,OK,OK,,,OK,OK,OK,OK
Aluno 54,,,,,OK,OK,OK,OK,OK,OK,,,,,,,,,,,,,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,,,,,,,OK,OK,OK,OK,OK,OK
Aluno 55,,OK,OK,,,,,,,,,,OK,OK,,,,,,,,,,,,,,,,,,,,,,,,OK,OK,OK,,,,,
Aluno 56,OK,,,,,,,,OK,OK,,,,,OK,OK,,,OK,,,,,,,,OK,OK,,,,,OK,,,OK,,,,,,,,OK,OK
Aluno 57,,,OK,OK,OK,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 58,,,OK,OK,,,OK,OK,OK,OK,,,OK,,,,,,,,OK,OK,,,OK,OK,OK,,,,,OK,OK,,,,OK,OK,OK,,,,,,
Aluno 59,,,,,,,,,,OK,OK,,,,,OK,OK,OK,,,,,,,,,,OK,OK,OK,,,,OK,,,,,,,,,,,OK
Aluno 60,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 61,,,OK,OK,,,,,,,,,,,,OK,,,,,OK,OK,,,,,,,,,,,,,,,,OK,,,,,,,
Aluno 62,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluno 63,,,,,OK,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,OK,,,,,
Aluno 64,,OK,OK,OK,,,,,,OK,OK,,,,OK,OK,,,,OK,OK,OK,,,,,,OK,OK,OK,,,,,,,,,,,,,,,
Aluno 65,,,,OK,OK,,,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,,,,OK,OK,,,OK,OK,OK,OK,OK,,,,OK,OK,,,,OK,,,,,OK,OK
Aluno 66,,,,,,,,,,,OK,,,,,,OK,,,,,,,,,,,,OK,OK,,,,OK,OK,,,,,,,,,,
Aluno 67,,,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,,OK,OK,OK,OK,OK,OK
Aluno 68,,OK,OK,OK,,,,,,OK,OK,,,,,,OK,OK,,OK,OK,OK,,,,,,OK,OK,OK,,,,OK,OK,,OK,OK,OK,,,,,,OK
Aluno 69,,,,,,,,,,,OK,,,,,,OK,OK,,,,,,,,,,,OK,OK,,,,,OK,,,,,,,,,,OK
Aluno 70,,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,,,,OK
Aluno 71,,,,,,,,,,OK,,,,,,OK,,,,,,,,,,,OK,,,,,,,OK,,,,,,,,,,,OK
Aluno 72,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 73,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 74,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 75,,,,OK,,,,,,,,,OK,,,,,,,,,OK,,,,,,,,,,OK,,,,,,OK,,,,,,,
Aluno 76,OK,OK,,,,,,,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,,,,,,,OK,OK,OK,OK,,,,,OK,,,,,,,,,,
Aluno 77,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,
Aluno 78,,,,,,,,,,,,,,,OK,,,,,,,OK,,,,,,,,,OK,,,,,,,,,,,,,,OK
Aluno 79,OK,OK,OK,OK,OK,,,,,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 80,,,,,,,,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,OK,OK,OK,,,,,,,,OK,OK,OK
Aluno 81,OK,,,,,,,,,,OK,,,,,,OK,OK,OK,,,,,,,,,,OK,OK,,,,OK,OK,OK,,,,,,,,,OK
Aluno 82,,,OK,OK,,,,,,,,,OK,OK,,,,,,,OK,OK,,,,,,,,,,OK,OK,,,,,OK,OK,,,,OK,OK,
Aluno 83,,,,,,OK,OK,OK,OK,OK,,,OK,OK,OK,,,,,,,,,,,,,,,,,OK,OK,,,,,OK,OK,,,OK,OK,OK,OK
Aluno 84,OK,,,,,,,OK,,,,,OK,,,,,,OK,,,,,,,OK,,,,,,,OK,,,OK,,,,,,,OK,,
Aluno 85,OK,OK,,,,,,OK,OK,OK,,,,OK,OK,OK,,,,OK,OK,,,,,OK,OK,OK,,,,,OK,,,OK,OK,,,,,,OK,,
Aluno 86,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 87,OK,OK,OK,OK,OK,,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK
Aluno 88,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,,,,,,,
Aluno 89,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK
Aluno 90,,,,,,,,,,,,,OK,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK
Aluno 91,,,,,,,,,,,,OK,OK,OK,OK,,,,,,OK,OK,,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,,,OK,OK,,,OK,OK,OK,OK,OK
